# telescope,datetime,tindex,flux
ASKAP,2022-10-12-12:50:16,2098,6.933
ASKAP,2022-10-15-08:02:14,271,4.268
ASKAP,2022-10-15-08:55:59,595,118.805
ASKAP,2022-10-15-09:49:44,919,13.785
ASKAP,2022-10-15-10:43:08,1241,17.931
ASKAP,2022-10-15-11:37:33,1569,6.67
ASKAP,2022-10-15-12:31:28,1894,3.954
ASKAP,2022-10-17-07:31:17,356,10.752
ASKAP,2022-10-22-07:35:16,375,17.491
ASKAP,2022-10-22-08:28:51,698,4.695
ASKAP,2022-10-23-07:47:16,556,6.471
ASKAP,2022-10-23-08:40:41,878,30.632
ASKAP,2022-10-23-09:34:06,1200,170.673
ASKAP,2022-10-23-10:28:01,1525,234.724
ASKAP,2022-10-23-11:21:46,1849,190.289
ASKAP,2022-11-05-07:35:00,918,4.01
